
2025-07-29 21:38:35 | INFO     | main                 | Initializing GUI application
2025-07-29 21:39:21 | INFO     | database_manager     | Calculated performance: 100.0% (average of 1 cycles)
2025-07-29 21:39:21 | INFO     | database_manager     | Calculated quality: 0.0% (0 good parts of 1 total)
2025-07-29 21:39:21 | INFO     | database_manager     | Calculated OEE: 0.0% (A:100.0% × P:100.0% × Q:0.0%)
2025-07-29 21:39:40 | INFO     | main                 | Detection triggered - Operator cycle time: 18.98s
2025-07-29 21:39:40 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-29 21:39:40 | INFO     | inference_engine     | Inference completed in 31.0ms - Status: DEFECT DETECTED
2025-07-29 21:39:40 | WARNING  | inference_engine     | Defects detected: 1 detections found
2025-07-29 21:39:40 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 35.1s)
2025-07-29 21:39:40 | INFO     | database_manager     | Calculated performance: 76.3% (average of 2 cycles)
2025-07-29 21:39:40 | INFO     | database_manager     | Calculated quality: 0.0% (0 good parts of 2 total)
2025-07-29 21:39:40 | INFO     | database_manager     | Calculated OEE: 0.0% (A:100.0% × P:76.3% × Q:0.0%)
2025-07-29 21:39:49 | INFO     | main                 | Detection triggered - Operator cycle time: 8.71s
2025-07-29 21:39:49 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-29 21:39:49 | INFO     | inference_engine     | Inference completed in 33.0ms - Status: DEFECT DETECTED
2025-07-29 21:39:49 | WARNING  | inference_engine     | Defects detected: 1 detections found
2025-07-29 21:39:49 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 43.9s)
2025-07-29 21:39:49 | INFO     | database_manager     | Calculated performance: 84.2% (average of 3 cycles)
2025-07-29 21:39:49 | INFO     | database_manager     | Calculated quality: 0.0% (0 good parts of 3 total)
2025-07-29 21:39:49 | INFO     | database_manager     | Calculated OEE: 0.0% (A:100.0% × P:84.2% × Q:0.0%)
2025-07-29 21:39:54 | INFO     | main                 | Detection triggered - Operator cycle time: 5.56s
2025-07-29 21:39:54 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-29 21:39:54 | INFO     | inference_engine     | Inference completed in 30.0ms - Status: DEFECT DETECTED
2025-07-29 21:39:54 | WARNING  | inference_engine     | Defects detected: 1 detections found
2025-07-29 21:39:54 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 49.5s)
2025-07-29 21:39:54 | INFO     | database_manager     | Calculated performance: 88.2% (average of 4 cycles)
2025-07-29 21:39:54 | INFO     | database_manager     | Calculated quality: 0.0% (0 good parts of 4 total)
2025-07-29 21:39:54 | INFO     | database_manager     | Calculated OEE: 0.0% (A:100.0% × P:88.2% × Q:0.0%)
2025-07-29 21:40:50 | INFO     | main                 | Detection triggered - Operator cycle time: 55.97s
2025-07-29 21:40:50 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-29 21:40:50 | INFO     | inference_engine     | Inference completed in 31.0ms - Status: DEFECT DETECTED
2025-07-29 21:40:50 | WARNING  | inference_engine     | Defects detected: 1 detections found
2025-07-29 21:40:50 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 105.6s)
2025-07-29 21:40:50 | INFO     | database_manager     | Calculated performance: 74.1% (average of 5 cycles)
2025-07-29 21:40:50 | INFO     | database_manager     | Calculated quality: 0.0% (0 good parts of 5 total)
2025-07-29 21:40:50 | INFO     | database_manager     | Calculated OEE: 0.0% (A:100.0% × P:74.1% × Q:0.0%)
2025-07-29 21:40:52 | INFO     | main                 | Detection triggered - Operator cycle time: 1.92s
2025-07-29 21:40:52 | INFO     | model_manager        | YOLO detected 1 objects
2025-07-29 21:40:52 | INFO     | inference_engine     | Inference completed in 32.0ms - Status: DEFECT DETECTED
2025-07-29 21:40:52 | WARNING  | inference_engine     | Defects detected: 1 detections found
2025-07-29 21:40:52 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 107.6s)
2025-07-29 21:40:52 | INFO     | database_manager     | Calculated performance: 78.4% (average of 6 cycles)
2025-07-29 21:40:52 | INFO     | database_manager     | Calculated quality: 0.0% (0 good parts of 6 total)
2025-07-29 21:40:52 | INFO     | database_manager     | Calculated OEE: 0.0% (A:100.0% × P:78.4% × Q:0.0%)
2025-07-29 21:40:53 | INFO     | main                 | Detection triggered - Operator cycle time: 0.86s
2025-07-29 21:40:53 | INFO     | inference_engine     | Inference completed in 28.2ms - Status: GOOD
2025-07-29 21:40:53 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 108.6s)
2025-07-29 21:40:53 | INFO     | database_manager     | Calculated performance: 81.5% (average of 7 cycles)
2025-07-29 21:40:53 | INFO     | database_manager     | Calculated quality: 14.3% (1 good parts of 7 total)
2025-07-29 21:40:53 | INFO     | database_manager     | Calculated OEE: 11.6% (A:100.0% × P:81.5% × Q:14.3%)
2025-07-29 21:40:54 | INFO     | main                 | Detection triggered - Operator cycle time: 0.72s
2025-07-29 21:40:54 | INFO     | inference_engine     | Inference completed in 32.1ms - Status: GOOD
2025-07-29 21:40:54 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 109.4s)
2025-07-29 21:40:54 | INFO     | database_manager     | Calculated performance: 83.8% (average of 8 cycles)
2025-07-29 21:40:54 | INFO     | database_manager     | Calculated quality: 25.0% (2 good parts of 8 total)
2025-07-29 21:40:54 | INFO     | database_manager     | Calculated OEE: 21.0% (A:100.0% × P:83.8% × Q:25.0%)
2025-07-29 21:40:55 | INFO     | main                 | Detection triggered - Operator cycle time: 1.07s
2025-07-29 21:40:55 | INFO     | inference_engine     | Inference completed in 27.9ms - Status: GOOD
2025-07-29 21:40:55 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 110.5s)
2025-07-29 21:40:55 | INFO     | database_manager     | Calculated performance: 85.6% (average of 9 cycles)
2025-07-29 21:40:55 | INFO     | database_manager     | Calculated quality: 33.3% (3 good parts of 9 total)
2025-07-29 21:40:55 | INFO     | database_manager     | Calculated OEE: 28.5% (A:100.0% × P:85.6% × Q:33.3%)
2025-07-29 21:40:56 | INFO     | main                 | Detection triggered - Operator cycle time: 1.21s
2025-07-29 21:40:57 | INFO     | inference_engine     | Inference completed in 27.0ms - Status: GOOD
2025-07-29 21:40:57 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 111.8s)
2025-07-29 21:40:57 | INFO     | database_manager     | Calculated performance: 87.1% (average of 10 cycles)
2025-07-29 21:40:57 | INFO     | database_manager     | Calculated quality: 40.0% (4 good parts of 10 total)
2025-07-29 21:40:57 | INFO     | database_manager     | Calculated OEE: 34.8% (A:100.0% × P:87.1% × Q:40.0%)
2025-07-29 21:42:28 | INFO     | main                 | Detection triggered - Operator cycle time: 91.76s
2025-07-29 21:42:28 | INFO     | inference_engine     | Inference completed in 28.0ms - Status: GOOD
2025-07-29 21:42:28 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 203.7s)
2025-07-29 21:42:28 | INFO     | database_manager     | Calculated performance: 80.1% (average of 11 cycles)
2025-07-29 21:42:28 | INFO     | database_manager     | Calculated quality: 45.5% (5 good parts of 11 total)
2025-07-29 21:42:28 | INFO     | database_manager     | Calculated OEE: 36.4% (A:100.0% × P:80.1% × Q:45.5%)
2025-07-29 21:42:29 | INFO     | main                 | Detection triggered - Operator cycle time: 1.02s
2025-07-29 21:42:30 | INFO     | inference_engine     | Inference completed in 29.1ms - Status: GOOD
2025-07-29 21:42:30 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 204.8s)
2025-07-29 21:42:30 | INFO     | database_manager     | Calculated performance: 81.8% (average of 12 cycles)
2025-07-29 21:42:30 | INFO     | database_manager     | Calculated quality: 50.0% (6 good parts of 12 total)
2025-07-29 21:42:30 | INFO     | database_manager     | Calculated OEE: 40.9% (A:100.0% × P:81.8% × Q:50.0%)
2025-07-29 21:42:31 | INFO     | main                 | Detection triggered - Operator cycle time: 1.74s
2025-07-29 21:42:31 | INFO     | inference_engine     | Inference completed in 25.0ms - Status: GOOD
2025-07-29 21:42:31 | INFO     | database_manager     | Calculated availability: 100.0% (downtime: 0.0s of 206.6s)
2025-07-29 21:42:31 | INFO     | database_manager     | Calculated performance: 83.2% (average of 13 cycles)
2025-07-29 21:42:31 | INFO     | database_manager     | Calculated quality: 53.8% (7 good parts of 13 total)
